trial file: ;stimulus_new.csv


trial;Game;Start_Time;Time_ind_choice;Time_final_choice;x_ind;y_ind;x_final;y_final;target_degrees;social_degrees;

1;14;0.523121423611111;0.523204594907407;0.523724594907407;404;561;356.252339948943;484.848970422465;147;161.0079721659;1;139.6;156.3;7.40000000000001;0;
2;14;0.523760625;0.523819861111111;0.523855613425926;775;81;650.849380531451;50.1899114907912;261;259.6506045956;1;295.8;-88;42.2;0;
3;14;0.523876006944444;0.523950891203704;0.52400619212963;892;179;912.830685730737;212.815024803155;318;303.4949723856;1;324.3;-28.3;48.5;0;
4;14;0.524015277777778;0.524073854166667;0.524104965277778;671;668;685.636818589693;666.622374899503;54;59.4271076544;1;83.5;81.5;78;0;
5;14;0.524120324074074;0.524200162037037;0.524237199074074;389;541;351.258348838287;472.819585553252;174;156.9739334007;1;144.3;158.7;107.7;0;
6;14;0.524264479166667;0.524341608796296;0.52438162037037;493;87;566.543584140788;58.8286949772298;237;276.2474747138;1;241.7;256.3;112.4;0;
7;14;0.524412256944444;0.524492905092593;0.524580150462963;888;173;904.232977562512;197.88604758242;315;342.9711132477;1;322.9;-31.5;120.3;0;
8;14;0.524668773148148;0.524736168981481;0.524766631944444;868;570;766.461419278916;643.032700290907;42;56.6101688581;1;42.6;65.9;120.9;0;
9;14;0.524800069444444;0.524873923611111;0.524914872685185;537;652;926.153846153846;479.230769230769;111;113.037084236;1;109.6;22.6;122.3;0;
10;14;0.5249221875;0.524993634259259;0.525016435185185;361;225;921.266288025472;229.657086036976;225;221.3656468468;1;205.8;-24.9;141.5;0;
11;14;0.525038402777778;0.525097962962963;0.525126215277778;533;69;760.546353558944;74.3978700295778;285;266.329533461;1;249.8;-67.1;176.7;0;
12;14;0.525183877314815;0.525255613425926;0.525299953703704;691;666;694.495097929934;665.172548407629;81;67.506744103;1;80.8;79.9;176.9;0;
13;14;0.525343171296296;0.52541875;0.525445787037037;394;548;384.108606570745;534.984555800888;165;142.3286000866;1;142.7;145.6;199.2;0;
14;14;0.525476203703704;0.525551979166667;0.525581226851852;475;97;383.591658038384;185.773818923518;201;236.214496381;1;238;214.2;236.2;0;
15;14;0.525610300925926;0.52568912037037;0.525780694444444;786;86;830.321590189625;604.699187386661;294;321.7422429149;1;297.9;52.1;240.1;0;
16;14;0.525784513888889;0.525868935185185;0.525910972222222;738;654;492.496238463693;632.658468294385;75;74.5067404015;1;71.5;118.4;243.6;0;
17;14;0.525919178240741;0.52599662037037;0.526029768518519;623;670;541.96939253478;654.091822395659;105;68.5428849385;1;90;108.4;258.6;0;
18;14;0.526062673611111;0.526136469907407;0.526168310185185;398;166;454.780790014003;111.416323439846;210;203.4211006777;1;218.7;233.3;267.3;0;
19;14;0.526189803240741;0.52627068287037;0.52630587962963;933;260;810.497076549814;101.097031905838;342;342.352442322;1;341.2;-56.6;268.1;0;
20;14;0.526330474537037;0.526400416666667;0.526446689814815;837;600;874.747041050498;562.469322906054;45;58.818700098;1;50.7;40.8;273.8;0;
21;14;0.526450520833333;0.526544293981482;0.526565694444444;421;580;376.252620818619;522.902793023794;171;178.8354093962;1;134.8;148.3;310;0;
22;14;0.526580046296296;0.526647997685185;0.526673923611111;334;309;336.694968272576;295.921472170263;216;209.8060908165;1;189.5;191.9;336.5;0;
23;14;0.526678923611111;0.526746886574074;0.526770162037037;836;120;516.39490546152;75.7082825614972;309;295.2228793008;1;309.3;246.5;336.8;0;
24;14;0.526817835648148;0.526902361111111;0.526922268518519;726;658;714.289307877156;660.966939604889;66;61.7993279188;1;74;76.1;344.8;0;
25;14;0.526925902777778;0.526998842592593;0.527019293981482;426;584;560.673306301952;659.678620637069;123;119.6764996284;1;133.7;104.8;355.5;0;
26;14;0.527032962962963;0.527111539351852;0.527138842592593;404;158;813.86292500255;103.345205948617;240;229.7755277568;1;220.7;-55.9;374.8;0;
27;14;0.527143310185185;0.527212627314815;0.527236793981481;792;90;716.440221941185;59.5721509753426;288;280.8904372494;1;299.4;-75.7;386.2;0;
28;14;0.527241527777778;0.527316111111111;0.527338726851852;947;402;947.025517563302;317.159230107446;6;348.641917456;1;7.8;-7.9;388;0;
29;14;0.52737537037037;0.527474386574074;0.52749818287037;504;638;505.140089365232;639.128652244055;126;124.3971232662;1;116.3;115.8;397.7;0;
30;14;0.527514513888889;0.527574849537037;0.527596782407407;331;331;689.80943664533;54.0277463215418;186;175.0901126327;1;185.4;-80.8;398.3;0;
31;14;0.527662847222222;0.527742627314815;0.527773449074074;917;220;590.637943964368;53.9552525790794;339;324.0455498674;1;333.2;260.8;404.1;0;
32;14;0.527780335648148;0.527862986111111;0.527902534722222;854;584;747.937824177124;650.601834323027;51;80.7144419806;1;46.3;69.6;408.8;0;
33;14;0.527917118055556;0.527990590277778;0.528017326388889;432;590;605.069248538122;668.025717436562;138;123.7075237743;1;132.1;96.5;414.7;0;
34;14;0.528029074074074;0.528106134259259;0.528137164351852;492;88;840.641554800143;123.688835457609;222;216.4733348274;1;241.3;-49.7;434;0;
35;14;0.528153645833333;0.528240115740741;0.528267824074074;906;200;835.694133494568;119.57577884953;330;347.3379470861;1;328.9;-50.9;435.1;0;
36;14;0.528278159722222;0.528341979166667;0.528353923611111;939;444;948.780364087563;387.471562641242;3;351.8804927901;1;15.7;5.1;447.8;0;
37;14;0.528370543981482;0.52843318287037;0.528448900462963;331;340;330.350877305424;374.745196318789;96;106.3178985;1;183.7;177.3;535.5;0;
